key,날짜,구분,종목코드,종목명,현재가,전일대비,등락률,거래량,거래대금,시가,고가,저가,10일변동가격,10일변동비율,익일시가,10일고가,라벨
0000,20180102,신,085660,차바이오텍,29250,6750,30.0,13003908,356270,23300,29250,23150,11850,0.39,30150,42000,1
0001,20180102,증,900100,애머릿지,3185,735,30.0,49558279,144720,2600,3185,2545,1290,0.37,3500,4790,1
0002,20180102,,041190,우리기술투자,4360,1005,29.96,45431164,180938,3560,4360,3500,5380,1.14,4720,10100,1
0003,20180103,신,263810,상신전자,27950,6450,30.0,1404491,36493,22000,27950,22000,3950,0.14,27500,31450,0
0004,20180103,증,056730,CNT85,3555,820,29.98,4566984,14295,2860,3555,2680,540,0.15,3650,4190,0
0005,20180103,증,900100,애머릿지,4140,955,29.98,52871420,206783,3500,4140,3490,820,0.21,3970,4790,1
0006,20180103,,049630,재영솔루텍,3040,700,29.91,21016105,58395,2445,3040,2350,355,0.12,3040,3395,0
0007,20180104,신,027830,대성창투,3470,800,29.96,25019217,82358,3095,3470,2995,795,0.23,3505,4300,1
0008,20180104,신,021080,에이티넘인베스트,4645,1070,29.93,12239540,55060,4420,4645,4300,1055,0.23,4645,5700,1
0009,20180104,신,036620,감성코퍼레이션,2130,490,29.88,16248439,31060,1795,2130,1720,1070,0.53,2020,3090,1
0010,20180105,,041190,우리기술투자,6370,1465,29.87,30875791,189848,6370,6370,5760,3730,0.59,6370,10100,1
0011,20180108,증,074610,이엔플러스,8970,2070,30.0,8765508,73055,7860,8970,7650,14200,1.38,10300,24500,1
0012,20180109,신,008700,아남전자,3130,720,29.88,55150334,166093,2460,3130,2460,540,0.17,3210,3750,0
0013,20180109,신,190510,나무가,24800,5700,29.84,860781,20111,19450,24800,19200,6550,0.26,25000,31550,1
0014,20180110,신,004310,현대약품,5330,1230,30.0,9664921,50702,4500,5330,4490,1100,0.19,5820,6920,0
0015,20180110,신,009420,한올바이오파마,36000,8300,29.96,14297067,456093,28550,36000,27900,9550,0.27,35300,44850,1
0016,20180110,증,080530,코디,1605,370,29.96,8908259,13374,1235,1605,1200,440,0.25,1740,2180,1
0017,20180110,증,050120,ES큐브,1520,350,29.91,39646571,55777,1165,1520,1150,505,0.36,1390,1895,1
0018,20180110,증,036170,클라우드에어,5430,1250,29.9,11958678,59088,4160,5430,4160,1260,0.25,5140,6400,1
0019,20180111,증,060260,뉴보텍,2520,580,29.9,9456413,22309,1950,2520,1820,440,0.16,2750,3190,0
0020,20180111,신,041910,폴라리스AI파마,17000,3900,29.77,4930194,77936,13000,17000,12900,1350,0.08,17200,18550,0
0021,20180112,증,079190,케스피온,5290,1220,29.98,14334211,67039,4190,5290,3865,2350,0.46,5150,7500,1
0022,20180112,신,068760,셀트리온제약,89500,20600,29.9,11031550,920370,73100,89500,71000,19600,0.21,95000,114600,1
0023,20180112,증,000040,KR모터스,635,146,29.86,20035740,12452,489,635,489,39,0.05,711,750,0
0024,20180112,신,002800,신신제약,10350,2370,29.7,6250558,60357,8100,10350,7900,2950,0.27,11000,13950,1
0025,20180115,신,036620,감성코퍼레이션,2385,550,29.97,16121175,37005,1900,2385,1850,490,0.2,2500,2990,1
0026,20180115,증,084990,헬릭스미스,230700,53200,29.97,2353157,495292,183000,230700,180000,64800,0.27,239000,303800,1
0027,20180115,증,074610,이엔플러스,14550,3350,29.91,1532683,20964,11600,14550,11600,6750,0.38,17750,24500,1
0028,20180115,,041190,우리기술투자,9390,2160,29.88,54141341,464559,7820,9390,7400,800,0.09,9090,9890,0
