단어,빈도수
상승,2165
종목,1923
주가,1500
하락,1479
거래,1452
주식,1304
지수,1233
관련,1205
외국인,1188
코스닥,1142
기관,1084
억원,1008
매수,961
상승세,958
대비,958
보이,952
시장,893
매도,893
회사,865
해당,849
투자자,807
개인,806
바이오,756
대한,756
기록,754
기업,752
투자,725
상위,700
한국,647
업종,634
마감,618
강세,607
증가,581
코스피,560
상한,527
발표,527
시가총액,510
현재,503
개발,497
주요,494
기사,493
기술,481
미국,458
결정,456
계약,448
증권,441
사업,424
소식,412
거래량,404
또한,398
전자,393
크게,391
산업,383
제약,377
급등,377
각각,367
계획,360
정보,350
일부,348
치료,348
코로나,347
가격,340
예정,334
규모,327
최근,314
기준,313
대부분,311
제공,307
이상,307
장비,305
통해,304
국내,302
분야,298
공급,295
위해,294
포함,294
체결,292
연속,286
에스,286
영향,283
반면,282
약세,281
반도체,281
공시,274
언급,272
가장,272
서비스,270
글로벌,269
뉴스,263
대감,259
가능성,255
요약,255
에코,255
생산,252
포인트,252
전일,240
중국,237
다른,235
코드,233
최대,230
셀트리온,226
경제,223
업체,222
상장,222
주목,220
건설,219
이후,216
부품,211
이익,210
협력,209
진행,208
전날,206
인수,206
오전,205
다음,202
영업,201
취득,197
동반,196
진단,196
주주,193
성장,189
대해,189
전환,186
삼성,185
중이,184
홀딩스,184
개선,182
우려,182
자금,181
매출,180
불구,178
거래소,178
예상,176
자회사,175
정부,174
전망,173
통신,172
금융,171
분석,171
오른,170
스케,170
제품,169
내용,168
여러,166
관심,165
확보,165
우리,164
테마주,162
에이,162
유상증자,161
테크,161
수익,158
발행,158
실적,157
그룹,155
미래에셋,155
에너지,154
금은,153
승률,151
결과,150
게임,149
추가,149
백신,149
확대,148
승인,147
오늘,147
평가,145
지난해,143
프로,143
세로,142
유지,142
기대,142
증시,140
상황,139
매매,139
도세,138
목록,138
사용,137
프로비,137
카카오,136
최고,133
성과,133
감소,133
시작,132
분기,132
키트,132
전기,131
오후,131
소재,129
주로,125
코오롱,125
매각,125
우위,125
화학,123
운영,122
남북,122
시스템,122
지난,122
의료,122
수요,121
변경,121
아이,121
기반,121
에프,121
효과,120
전체,117
전환사채,116
조세,116
기자,116
솔루션,114
케이,111
보합,111
전문,111
평균,110
변동,110
대표,110
종이,110
자동차,109
보유,108
올해,107
일본,105
판매,104
데이터,104
제조,104
전기차,103
대통령,103
코스피지수,102
주의,101
참여,101
지속,101
방송,101
하이닉스,99
만주,99
보도,99
동안,99
신규,99
긍정,98
돌파,98
로봇,98
철강,97
개별,97
대상,97
운송,97
부문,95
수출,95
수준,95
가치,94
확인,94
차트,94
조회,93
이틀,92
수로,90
현대,90
로부터,90
유가,90
의약품,89
확장,89
심리,89
요구,88
배정,88
에이치엘비,88
이로,87
비금속,87
금속,86
때문,86
목재,86
등락,86
지정,86
무상증자,85
목표,85
환자,85
추진,84
가스,84
이번,84
지역,83
수주,83
합병,83
인터넷,83
씨젠,83
출시,82
세계,82
반등,82
기타,82
출발,82
후보,82
주인,81
신청,81
공사,81
달러,81
석유,81
수의,81
위주,80
지원,80
발생,79
보고,78
은행,78
생명과학,78
항공,78
실시간,78
정책,77
기간,77
금리,77
금액,76
허가,76
기계,76
러시아,76
보증,75
유럽,75
무역,75
코스닥시장,74
플랫폼,74
공개,74
유통,74
배당,74
시간,74
수혜,73
중인,73
보통주,73
수급,73
중공업,73
화장품,73
국제,73
정밀,73
북한,73
포스코,73
식품,73
협상,73
모두,72
사상,72
물질,72
다시,72
제조업체,72
모습,71
도달,71
조치,71
작용,71
법인,71
연구,70
재무,70
섬유,70
활용,69
진출,69
향상,69
에이치,69
시스,69
기존,68
코리아,68
추세,68
업데이트,68
고객,68
특정,68
목적,68
디지털,68
전문가,66
성공,66
채무,66
차지,66
급증,66
만원,65
프로젝트,64
약품,64
경영,64
상태,64
위험,64
연결,64
국순당,64
가운데,64
인공,64
미래,63
현금,63
동향,63
완화,63
고가,63
직스,63
지능,63
초반,63
경기,63
라이온,63
사항,62
공장,62
가지,62
완료,62
기여,62
고려,62
아시아나,62
별로,62
연관,62
안정,61
위원회,61
역시,61
신종,61
바이러스,61
우크라이나,61
초전도체,61
조원,60
대표이사,60
금융투자,60
제한,60
처음,60
의견,60
앤디,60
특허,60
재개,59
차익,59
시설,59
신약,59
검사,59
서비스업,59
엘앤,59
화폐,58
호조,58
사료,58
연구원,57
공동,57
대형주,57
롯데,57
현대차,57
이데일리,57
조정,57
광물,57
자기,57
배터리,57
준비,56
파트너,56
해외,56
케미칼,56
오락,56
보험,56
라씨,56
고수,56
내년,55
대우,55
콘텐츠,55
정상회담,55
두산,55
확산,55
소프트웨어,54
집중,54
호재,54
설립,54
변동성,54
세포,54
손실,54
절차,54
수익률,54
개장,54
논의,53
종가,53
한화,53
도움,53
순위,53
운수,53
경신,52
서울,52
문화,52
연방,52
홀로,52
호스,52
리튬,52
하나,51
제출,51
선정,51
발전,51
관리,51
규제,51
처분,51
진자,51
어가,50
신라,50
중단,50
경우,50
회복,50
윤석열,50
회장,49
구축,49
구조,49
향후,49
마련,49
사이언스,49
파워,49
기업인,49
본부,48
환율,48
테마,48
모바일,48
파마,48
작성,48
플러스,48
투자가,47
코스,47
공업,47
활동,47
분쟁,47
전반,47
사주,47
실현,46
위치,46
현저,46
체인,46
달성,46
테크놀로지,46
조사,46
골든,46
해제,46
건설업,46
의류,46
자체,45
분할,45
스팩,45
자율,45
로서,44
약물,44
아래,44
제도,44
프로그램,44
신호,44
국가,44
자산,43
신주,43
환경,43
계속,43
물류,43
사인,43
핵심,43
제외,43
열사,43
첨단,43
번호,43
제작,43
인프라,43
개월,43
보고서,43
행사,43
제기,43
항체,43
정지,43
코로나바이러스,43
테슬라,43
위메이드,43
가상,42
하이,42
관계,42
방식,42
한편,42
경험,42
온라인,42
한미,42
비율,42
답변,42
물량,42
감염증,42
최초,41
조달,41
건강,41
네이버,41
강조,41
금호,41
종합,41
어비스,41
크로스,41
하루,40
엔터테인먼트,40
센터,40
장기,40
주식회사,40
한진,40
상장폐지,40
사자,40
알파,40
지주,39
제조업,39
설명,39
경쟁력,39
이유,39
인기,39
모든,39
주식시장,39
문제,39
공매도,39
대규모,38
기회,38
친환경,38
시험,38
적용,38
유전자,38
요청,38
분류,38
심사,38
출판,38
스틸,38
임상시험,37
형성,37
뱅크,37
순이익,37
동기,37
중심,37
긴급,37
나스닥,37
곡물,37
급락,36
단기,36
스튜디오,36
나머지,36
압력,36
믹스,36
일선,36
유입,35
주주총회,35
선임,35
대응,35
브랜드,35
사건,35
나열,35
뉴욕증시,35
기한,35
수가,35
음식,35
아시아,35
자사,35
케이엠,35
매체,34
전하,34
자본,34
선물,34
바탕,34
국내외,34
비롯,34
발언,34
한국어,34
사채,34
철도,34
기능,34
애플,33
도입,33
더욱,33
강화,33
전략,33
엔지니어링,33
보안,33
인베스트먼트,33
실시,33
대형,33
공정,33
낙폭,33
매입,33
사모,33
흐름,33
약국,33
해지,33
보장,33
성실,33
대한항공,33
뉴욕,33
컴퓨터,33
현상,33
주행,33
제시,32
이용,32
업계,32
사례,32
확정,32
블록,32
식품의약품안전처,32
토건,32
구매,32
여부,32
지표,32
원료,32
버스,32
적극,32
원자력,32
입증,31
공모,31
비용,31
기기,31
작업,31
검토,31
전쟁,31
컴퍼니,31
기가스,31
쌍용차,31
지난달,31
복제,31
메타,31
변화,31
이름,31
더블유,31
효성,30
차세대,30
특수,30
바이,30
상반기,30
연구소,30
영화,30
디톡스,30
단계,30
로보틱스,30
신탁,30
미디어,30
교육,30
대체,30
방문,30
갈등,30
팔자,30
해운,30
원전,30
유의,30
구체,29
매물,29
나노,29
통신업,29
일반,29
오토,29
개최,29
에스티,29
경쟁,29
적자,29
사람,29
풍력,29
계열,29
중앙,29
항암제,29
방어,29
대체로,29
모비스,29
부담,29
지지,28
덕분,28
디스플레이,28
인증,28
세미,28
주도,28
부동산,28
권리,28
라인,28
조언,28
중동,28
혜주,28
알미늄,28
북미,28
스마트,28
희토류,28
정치,28
대상자,28
정보기기,28
제지,28
구성,28
병원,28
마시스,28
리더,27
잠재력,27
치매,27
합의,27
흑자,27
제로,27
노스,27
이전,27
전력,27
우선,27
대량,27
앤지,27
반영,27
안전성,27
이벤트,27
신소재,27
금지,27
의미,26
측면,26
면역,26
이차전지,26
지급,26
상환,26
담당,26
예측,26
조합,26
케어,26
이노베이션,26
유통업,26
관광,26
유동성,26
조선,26
유니온,26
수젠텍,26
유진,25
대신,25
연구개발,25
삼화,25
독점,25
문재인,25
네이처,25
네트웍,25
제넥신,25
베트남,25
제철,25
위탁,25
여행,25
컨소시엄,25
수입,25
질환,25
담배,25
인하,25
협약,25
인상,25
우진,25
상향,25
민주당,25
장관,25
금융업,25
단기간,25
대금,24
연간,24
주택,24
설비,24
텔레콤,24
선도,24
평화,24
모터,24
직접,24
진양,24
남선,24
플레이,24
머티리얼즈,24
지노,24
쌍방울,24
이재명,24
엔비디아,24
골드,23
맥스,23
편입,23
소송,23
암호,23
수소,23
전지,23
사회,23
자원,23
잠재,23
줄기세포,23
스템,23
비츠로,23
마이크로,23
사의,23
세력,23
능력,23
소프트,23
발견,23
크리스탈,23
동부,23
소개,23
등록,23
업무,23
관망,23
부정,23
나인,23
질병,23
국산,23
녹십자,23
마스크,23
대성,23
증권사,23
부채,23
비트코인,23
가로,23
물가,23
상품,22
회의,22
보호,22
하반기,22
아프리카,22
제재,22
매장,22
물산,22
반응,22
거나,22
의복,22
품목,22
호실,22
회생,22
창고,22
푸드,22
배열,22
하림,22
모빌리티,22
감염,22
센서,22
그린,22
해상,22
쿠팡,22
나무,21
만기,21
토지,21
자재,21
관계자,21
분위기,21
신세계,21
효율,21
마지막,21
링크,21
동물,21
초기,21
낙관,21
자료,21
당국,21
입금,21
위기,21
주장,21
예고,21
담보,21
방역,21
실험,21
부족,21
시각,21
