,realUp,summ_context,okt_tokenized
0,1,국내 증시는 긍정적인 시장 전망과 개인 투자자 및 외국인의 매수세로 인해 연초 상승세를 보이고 있습니다 코스피와 코스닥 모두 지난해 월 이후 최고치를 경신했으며 정부 정책 기대감과 월 효과 가 시장을 지지하고 있습니다 제약 바이오와 소프트웨어 부문에서 강세가 나타나고 있으며 외국인은 순매수로 전환되었습니다 전문가들은 원화의 강세에도 불구하고 수출 수요에 대한 긍정적인 전망을 유지하고 있습니다,"['국내', '증시', '긍정', '시장', '전망', '개인', '투자자', '외국인', '매수', '세로', '연초', '상승세', '보이', '코스피', '코스닥', '모두', '지난해', '이후', '최고', '경신', '정부', '정책', '대감', '효과', '시장', '지지', '제약', '바이오', '소프트웨어', '부문', '강세', '외국인', '수로', '전환', '전문가', '원화', '강세', '불구', '수출', '수요', '대한', '긍정', '전망', '유지']"
1,1,우리기술투자 가 가상화폐 거래소인 업비트를 운영하는 두나무 지분 가치가 주목받고 있어 급등하고 있습니다 정호윤 유진투자증권 연구원은 업비트의 일 거래대금이 약 조원으로 하루평균 수수료 수익이 약 억원일 것으로 추산하였습니다 카카오의 지분 가치는 그에 따라 크게 증가할 것으로 예상되며 가상화폐 시장은 새로운 투자처로서 성장 가능성이 크다고 전망됩니다,"['우리', '기술', '투자', '가상', '화폐', '거래소', '비트', '운영', '나무', '가치', '주목', '급등', '정호윤', '유진', '투자', '증권', '연구원', '비트', '거래', '대금', '조원', '하루', '평균', '수수료', '수익', '원일', '추산', '카카오', '가치', '크게', '증가', '예상', '가상', '화폐', '시장', '투자', '로서', '성장', '가능성', '전망']"
2,1,뉴프라이드 는 미국 대마초 판매 합법화에 따라 코스닥 시장에서 상승세를 보이고 있습니다 뉴프라이드는 전날 장 마감 때 상한가를 기록했으며 이날 오전 시 분 기준으로 원에 거래되고 있으며 이는 전일 대비 오른 가격입니다 이러한 주가 상승은 미국 캘리포니아주에서 기호용 대마초 판매가 합법화되었다는 소식에 따른 것입니다 이 요약은 뉴프라이드의 주식 시장 성과 특히 코스닥 시장에서 보여준 급격한 상승세에 초점을 맞추고 있습니다 회사의 주가가 전날 상한가를 기록했으며 이는 캘리포니아주에서 기호용 대마초 판매가 합법화되었다는 발표로 인해 이뤄진 것입니다 요약은 뉴프라이드의 현재 주식 가격을 구체적으로 명시하고 있으며 이 정보가 관련성 있고 가치 있는 정보를 제공하며 간결하고 이해하기 쉬운 형식으로 제시되도록 합니다,"['프라이드', '미국', '대마초', '판매', '합법', '코스닥', '시장', '상승세', '보이', '프라이드', '전날', '마감', '상한', '기록', '오전', '기준', '거래', '전일', '대비', '오른', '가격', '주가', '상승', '미국', '캘리포니아주', '호용', '대마초', '판매', '합법', '소식', '요약', '프라이드', '주식', '시장', '성과', '코스닥', '시장', '상승세', '초점', '회사', '주가', '전날', '상한', '기록', '캘리포니아주', '호용', '대마초', '판매', '합법', '발표', '요약', '프라이드', '현재', '주식', '가격', '구체', '명시', '정보', '관련성', '가치', '정보', '제공', '이해', '형식', '제시']"
3,0,요약하자면 코스피가 연속 상승세를 이어가며 사상 최고치인 선을 향해 가고 있고 코스닥은 장중 선 돌파를 시도 중입니다 미국 정보기술 대기업과 철강 업종의 강세와 함께 남북 간 연락 채널 재개 소식에 힘입어 남북 경협 관련 주가들이 상승세를 보였습니다 외국인의 순매수는 지수를 지지하는 역할을 하고 있습니다,"['요약', '코스피', '연속', '상승세', '어가', '사상', '최고', '치인', '코스닥', '돌파', '시도', '미국', '정보기술', '대기업', '철강', '업종', '강세', '남북', '연락', '채널', '재개', '소식', '남북', '경협', '관련', '주가', '상승세', '외국인', '매수', '지수', '지지', '역할']"
4,1,코스닥지수는 바이오 제약주들의 차익 실현 매물로 인해 하락세를 보였습니다 기관은 대규모로 순매도했으며 외국인 투자자들은 소폭의 순매수를 진행했습니다 코스닥시장에서 시가총액 상위 종목들은 대체적으로 부진한 모습을 보였으며 신라젠이 이상 급락하였습니다 반면 가상화폐 테마주에 대해서는 상승세를 보였습니다,"['코스닥', '지수', '바이오', '약주', '차익', '실현', '매물', '하락', '기관', '대규모', '매도', '외국인', '투자자', '매수', '진행', '코스닥시장', '시가총액', '상위', '종목', '체적', '모습', '신라', '이상', '급락', '반면', '가상', '화폐', '테마주', '대해', '상승세']"
5,1,이엔쓰리 의 자회사 네오나노메딕스코리아가 서울대 연구팀과 협력하여 마그네슘 나노물질을 이용한 암 치료법에서 온열을 통한 효과 증명을 발표했습니다 이 뉴스는 회사의 주가를 두 날 연속 높은 상승으로 이끌었습니다 배성태 사우스캐롤라이나대 교수는 연구 프로젝트 리더로 서울대의 백선하 김영일 강건욱 박기호 교수들과 함께 연구를 진행하고 있습니다 요약하자면 이엔쓰리의 자회사 네오나노메딕스코리아가 마그네슘 나노물질을 이용한 암 치료법에서 온열을 통한 효과 입증 발표 서울대 연구팀과 협력하여 진행된 공동 연구 배성태 사우스캐롤라이나대 교수와 백선하 김영일 강건욱 박기호 교수가 참여,"['자회사', '오나노', '메딕', '스코리아', '서울대', '협력', '마그네슘', '나노', '물질', '이용', '치료법', '통한', '효과', '증명', '발표', '뉴스', '회사', '주가', '연속', '상승', '성태', '사우스캐롤라이나', '교수', '연구', '프로젝트', '리더', '서울대', '선하', '김영일', '강건욱', '기호', '교수', '연구', '진행', '요약', '자회사', '오나노', '메딕', '스코리아', '마그네슘', '나노', '물질', '이용', '치료법', '통한', '효과', '입증', '발표', '서울대', '협력', '진행', '공동', '연구', '성태', '사우스캐롤라이나', '교수', '선하', '김영일', '강건욱', '기호', '교수', '참여']"
6,0,코스피지수가 개인 매도세와 외국인 매수세가 주춤하면서 소폭 하락하였습니다 전기전자 업종이 약세를 보였고 삼성전자와 하이닉스는 실적 부진으로 하락했습니다 반면 통신업 철강금속 등 일부 업종은 상승했습니다 아남전자는 가격제한선까지 오르면서 주목을 받았습니다 거래량은 억 만주 거래대금은 조 억원으로 기록되었습니다,"['코스피지수', '개인', '도세', '외국인', '주춤', '하락', '전기', '전자', '업종', '약세', '전자', '하이닉스', '실적', '부진', '하락', '반면', '통신업', '철강', '금속', '일부', '업종', '상승', '아남전자', '가격', '한선', '주목', '거래량', '만주', '거래', '금은', '억원', '기록']"
7,1,나무가 는 이노텍이 차기 아이폰용으로 예상되는 애플의 카메라를 위해 대규모 투자를 진행한다는 소식에 힘입어 상승한 상한가를 기록했습니다 나무가는 삼성전자 무선 사업부의 주요 벤더 중 하나이며 미래 성장 동력으로 카메라 기술을 보유하고 있습니다 업계에서는 이노텍의 투자가 아이폰에 탑재되는 센싱모듈 생산을 위한 것으로 보고 있으며 이는 관련 부품업체들에게 수혜가 될 것으로 전망됩니다,"['나무', '이노텍', '차기', '아이폰', '예상', '애플', '카메라', '위해', '대규모', '투자', '진행', '소식', '상승', '상한', '기록', '나무', '삼성', '전자', '무선', '사업', '부의', '주요', '하나', '미래', '성장', '동력', '카메라', '기술', '보유', '업계', '이노텍', '투자가', '아이폰', '탑재', '센싱', '모듈', '생산', '보고', '관련', '부품', '업체', '수혜', '전망']"
8,0,현대약품 이 상한가에 도달했으며 주가는 전날 대비 상승해 현재 원에 거래되고 있습니다 상승 원인은 공동 개발 중인 항암 표적 치료제의 중국 내 조기 출시 가능성에 대한 한 언론 매체의 보도 때문입니다 해당 약물은 담도암 유방암 위암을 적응증으로 하는 임상시험이 진행 중이며 성공 시 최초의 승인 사례가 될 예정입니다 임상시험 데이터 결과는 올해 중국 식품의약품안전청 에 제출될 예정이고 승인을 얻으면 년에 상업화가 이루어질 수 있습니다,"['현대', '약품', '상한', '도달', '주가', '전날', '대비', '상승', '현재', '거래', '상승', '원인', '공동', '개발', '중인', '항암', '표적', '치료', '제의', '중국', '조기', '출시', '가능성', '대한', '언론', '매체', '보도', '때문', '해당', '약물', '유방암', '위암', '적응', '임상시험', '진행', '중이', '성공', '최초', '승인', '사례', '예정', '임상시험', '데이터', '결과', '올해', '중국', '식품의약품안전청', '제출', '예정', '승인', '상업', '화가']"
9,1,일 장 마감 후 주요 종목 뉴스입니다 효성 은 신한은행 외 개 금융기관으로부터 빌린 대출금 억원에 대한 채무보증을 결정하였습니다 금액은 억원입니다 하이골드 호 는 현대글로비스와 급 선박 임대 계약을 체결했습니다 코스맥스비티아이 의 자회사인 코스맥스는 레시틴 및 소듐디라우라미도글루타미이드라이신을 함유하는 블루에멀젼 조성물에 관한 특허권을 취득하였습니다 카프로 는 대표이사를 박승언에서 권용대로 변경하였습니다 금융지주 의 전 회장 성세환과 전 부사장 김일수가 자본시장 및 금융투자업에 관한 법률 위반 혐의로 재판을 받았으며 각각 징역형과 집행유예가 선고되었습니다 오션브리지 는 중국 자회사인 에 억원을 출자하기로 결정하였습니다 지분율은 입니다 코디 는 만기 전에 억원 규모의 제 회차 무기명식 이권부 무보증 전환사채를 취득할 예정이라고 공시했습니다 엔알케이 는 일반 공모 유상증자를 통해 억 만원을 조달하기 위한 결정 사항을 공시하였습니다 웨이브일렉트로 는 억원 규모의 현궁 차양산 사업계약을 체결했습니다 일경산업개발 은 최근 주가 급등과 관련한 한국거래소 코스닥시장본부의 조회공시 요구에 대해 전환사채 발행 이외 중요한 정보가 없다고 공시하였습니다 앱클론 은 서울 구로구에 위치한 토지와 건물을 억 천만원에 양수하기로 결정했습니다 이는 자산총액 대비 에 해당합니다 서브마린 는 한국해양과학기술원과 수중건설로봇사업단 실해역테스트 선박 임차 및 선상지원 시스템 용역 계약을 체결하였습니다 계약금액은 억 천만원에 달합니다 에치디프로 는 보통주 주당 신주 주를 배정하는 무상증자를 결정했습니다 발행 예정 주식수는 만 주로 상장 예정일은 다음 달 일입니다,"['마감', '주요', '종목', '뉴스', '효성', '신한은행', '금융기관', '출금', '억원', '대한', '채무', '보증', '결정', '금액', '억원', '하이', '골드', '글로비스', '선박', '임대', '계약', '체결', '코스', '맥스', '티아이', '자회사', '코스', '맥스', '레시틴', '소듐', '라우', '라미', '글루타', '이드', '라이신', '함유', '블루', '특허권', '취득', '카프로', '대표이사', '박승언', '권용', '변경', '금융', '지주', '회장', '부사', '김일수', '자본시장', '금융투자', '법률', '위반', '혐의', '재판', '각각', '징역형', '집행유예', '선고', '오션', '브리지', '중국', '자회사', '억원', '출자', '결정', '분율', '코디', '만기', '억원', '규모', '회차', '무기명', '권부', '보증', '전환사채', '취득', '예정', '공시', '케이', '일반', '공모', '유상증자', '통해', '만원', '조달', '결정', '사항', '공시', '웨이브', '일렉트로', '억원', '규모', '현궁', '양산', '사업', '계약', '체결', '산업', '개발', '최근', '주가', '급등', '관련', '한국', '거래소', '코스닥시장', '본부', '조회', '공시', '요구', '대해', '전환사채', '발행', '이외', '정보', '공시', '클론', '서울', '구로구', '위치', '토지', '건물', '천만원', '양수', '결정', '자산', '대비', '해당', '서브', '마린', '한국', '과학기술원', '수중', '건설', '로봇', '사업', '해역', '테스트', '선박', '임차', '선상지', '시스템', '용역', '계약', '체결', '계약', '금액', '천만원', '프로', '보통주', '신주', '배정', '무상증자', '결정', '발행', '예정', '식수', '주로', '상장', '예정일', '다음']"
